u1,u2,u3,u4
-69.35176983681262,69.22465056153193,-68.94347104673245,69.07101051550359
-69.35177029580996,69.22465008006637,-68.94347029812855,69.07101125531673
-69.35177115951831,69.22464925503296,-68.9434709960199,69.07101053303425
-69.35176847314989,69.22465217228901,-68.94347376384802,69.07100766257165
-69.35176148784662,69.22465925104096,-68.94348227198766,69.07099909986133
-69.35176148784662,69.22465925104096,-68.94348227198766,69.07099909986133
-69.35176152198059,69.22465918776578,-68.94348215824918,69.0709992314175
-69.3517667675614,69.22465377981487,-68.94347601859498,69.07100542420969
-69.3517667675614,69.22465377981487,-68.94347601859498,69.07100542420969
-69.35176851411728,69.22465195571965,-68.94347412409948,69.07100735882548
-69.35176897285415,69.22465180711575,-68.943473898909,69.07100722101008
-69.35176771446918,69.2246530672697,-68.9434753301416,69.07100577828696
-69.35176607324705,69.22465475962429,-68.9434770741223,69.07100400230804
-69.35176485140573,69.22465592522498,-68.94347816849033,69.07100295122459
-69.35176450683129,69.22465620629767,-68.94347815622257,69.07100302006032
-69.35176492275988,69.22465573649811,-68.94347722842313,69.07100400094299
-69.35176551437434,69.22465506775292,-68.94347609031719,69.0710052151177
-69.35176551437434,69.22465506775292,-68.94347609031719,69.0710052151177
-69.35176658206713,69.22465400614489,-68.94347393999278,69.07100730409975
-69.35176699651143,69.22465352987864,-68.94347294436261,69.07100835300803
-69.35176620074608,69.22465432671737,-68.94347330744905,69.07100803585664
-69.3517651168707,69.2246555842085,-68.94347389944906,69.07100728537552
-69.3517651168707,69.2246555842085,-68.94347389944906,69.07100728537552
-69.35176270737628,69.22465808124596,-68.94347501010154,69.0710060594005
-69.3517616343113,69.22465873155328,-68.94347521159156,69.07100610913125
-69.3517616456045,69.22465902197608,-68.94347438481063,69.07100685082608
-69.35176210008729,69.22465853380535,-68.94347294822026,69.07100835667477
-69.35176276574636,69.2246577965173,-68.94347126578558,69.07101013244977
-69.35176304095509,69.22465747717791,-68.94347006302254,69.07101140005543
-69.35176304095509,69.22465747717791,-68.94347006302254,69.07101140005543
-69.35176165737275,69.22465869149036,-68.94346977369428,69.07101188400314
-69.3517605081342,69.22465990884345,-68.94347008486206,69.07101158931283
-69.35175949698836,69.22466091593911,-68.9434701189524,69.07101156838762
-69.35175892659274,69.22466146960456,-68.94346994900054,69.07101179958586
-69.3517582597594,69.22466210260995,-68.9434694903074,69.0710123176543
-69.351757909388,69.22466240886463,-68.94346863058253,69.07101324174299
-69.35175822605909,69.22466201806266,-68.9434666948916,69.07101527504565
-69.35175822605909,69.22466201806266,-68.9434666948916,69.07101527504565
-69.35175805704459,69.22466220349396,-68.94346563027362,69.07101632574835
-69.3517573540821,69.22466294269304,-68.94346517275248,69.0710167441175
-69.35175656716123,69.22466377405998,-68.94346475207345,69.07101710979357
-69.35175457624055,69.224665848405,-68.94346452792695,69.07101723212514
-69.35175402975491,69.22466643962062,-68.94346489357615,69.07101681651405
-69.35175246023205,69.22466812802182,-68.94346404430638,69.07101750726035
-69.35175261940547,69.2246679932606,-68.9434623845743,69.0710190772886
-69.35175297735269,69.22466757104435,-68.94346052828223,69.07102092477724
-69.35175340872252,69.22466707964969,-68.94345989637554,69.07102157627806
-69.35175251756138,69.22466798147299,-68.94345827794409,69.0710231492377
-69.35175255291954,69.22466793661637,-68.94345811796823,69.07102330604779
-69.3517513358703,69.22466948791882,-68.9434568175395,69.07102436356413
-69.35174983089729,69.22467121804752,-68.94345709159445,69.07102390739142
-69.3517491039576,69.22467220591412,-68.94345778070868,69.07102297742456
-69.35174735271097,69.22467370921706,-68.94345816069001,69.07102268120117
-69.3517448443784,69.22467572667088,-68.9434579252642,69.07102331830376
-69.3517448903505,69.22467560312633,-68.9434564383301,69.07102489678306
-69.3517448903505,69.22467560312633,-68.9434564383301,69.07102489678306
-69.35174708420374,69.22467336427299,-68.94345135992813,69.07103009425896
-69.35174841678005,69.2246719497248,-68.94344859363821,69.07103294476703
-69.35174772989338,69.22467262737582,-68.94344821521523,69.07103338134137
-69.35174554654141,69.22467486457116,-68.9434495232081,69.07103210076383
-69.35174285507152,69.22467761553698,-68.94345129905331,69.07103034958763
-69.35174066561693,69.22467984122581,-68.94345241597948,69.07102925991911
-69.35174066561693,69.22467984122581,-68.94345241597948,69.07102925991911
-69.35174028450096,69.22468017505655,-68.94344988624331,69.07103184045543
-69.35174028450096,69.22468017505655,-68.94344988624331,69.07103184045543
-69.35174054629798,69.22467982744377,-68.94344679999958,69.07103499103842
-69.35174130149142,69.22467904095119,-68.9434460019138,69.07103579168594
-69.35174147357314,69.22467881212579,-68.94344320517719,69.0710386238437
-69.35174139160578,69.22467890599468,-68.94344344235549,69.07103836208135
-69.35174001232305,69.22468058645761,-68.94344392786358,69.07103770590241
-69.35173828182371,69.22468253981432,-68.9434447137712,69.07103676159367
-69.35173620995769,69.22468480366635,-68.94344582861065,69.07103548611249
-69.35173391834383,69.22468683108185,-68.94344705443882,69.07103432595225
-69.35173278223033,69.22468790708443,-68.94344708367461,69.07103430658312
-69.35173606965941,69.22468447120794,-68.94344107497096,69.07104034282703
-69.35173879697244,69.22468164080824,-68.94343699751434,69.07104444850465
-69.35173920918872,69.22468121242926,-68.94343574753452,69.07104570472337
-69.35173745758736,69.22468303618804,-68.94343702590568,69.07104440030962
-69.3517348535791,69.22468574394134,-68.94343920759623,69.07104217680565
-69.3517348535791,69.22468574394134,-68.94343920759623,69.07104217680565
-69.35173124115757,69.2246894695791,-68.94344137334922,69.07103995980228
-69.35172987223918,69.22469085682442,-68.94344192480443,69.07103940568004
-69.35173038341422,69.22469028518961,-68.9434403582898,69.07104100261138
-69.35173173311061,69.22468884685512,-68.94343794661809,69.07104345979681
-69.35173173311061,69.22468884685512,-68.94343794661809,69.07104345979681
-69.35173383349876,69.22468662635325,-68.94343421523963,69.07104726919779
-69.35173453698111,69.22468589362023,-68.94343282843084,69.0710486811417
-69.35173346922646,69.224687011365,-68.94343351981458,69.07104798054245
-69.35173168204848,69.22468886979622,-68.94343499598683,69.07104648205987
-69.35173168204848,69.22468886979622,-68.94343499598683,69.07104648205987
-69.35172822179135,69.22469244522051,-68.94343760124218,69.07104383310968
-69.35172822179135,69.22469244522051,-68.94343760124218,69.07104383310968
-69.35172683951612,69.2246938561159,-68.94343849817906,69.07104292682737
-69.35172697838414,69.22469367011271,-68.94343695208903,69.07104449026208
-69.35172825230015,69.22469233533867,-68.94343569228943,69.07104577622191
-69.35173221300327,69.2246882021474,-68.94343044299265,69.0710510932241
-69.35173221300327,69.2246882021474,-68.94343044299265,69.0710510932241
-69.35173265834356,69.22468779207237,-68.94342954636684,69.07105196979535
-69.35173108625729,69.22468945893034,-68.94343109470466,69.07105037145848
-69.3517290314741,69.22469162245055,-68.94343308098132,69.07104832304972
-69.3517290314741,69.22469162245055,-68.94343308098132,69.07104832304972
-69.35172588502962,69.2246948567849,-68.94343570825005,69.07104562926607
-69.35172540945278,69.22469532277488,-68.94343574819604,69.07104559081753
-69.35172540945278,69.22469532277488,-68.94343574819604,69.07104559081753
-69.35172734788557,69.22469326104121,-68.9434329007324,69.07104848191834
-69.3517289012631,69.22469163585504,-68.94343100679089,69.07105040526271
-69.35172915410863,69.22469137515016,-68.94343036585629,69.07105105506785
-69.35172968021348,69.2246908411224,-68.94343014719323,69.07105127313444
-69.35172948570077,69.22469106414336,-68.94343048635187,69.07105092240015
-69.35172917804584,69.22469140600471,-68.94343095121276,69.07105043958546
-69.35172852281242,69.22469210892041,-68.94343161534445,69.07104974160991
-69.3517280975652,69.22469256772561,-68.94343234200987,69.07104899987613
-69.35172688123951,69.22469384424947,-68.94343367881147,69.07104761563212
-69.35172569061244,69.22469508948186,-68.94343536333979,69.07104591037829
-69.3517261028766,69.22469462343433,-68.9434350602734,69.07104623818033
-69.35172765058363,69.22469299214652,-68.94343353452571,69.07104780214738
-69.35172807107878,69.2246925588428,-68.94343308350665,69.07104826869866
-69.35172961166418,69.22469094078461,-68.9434316489038,69.07104973370966
-69.35173204137304,69.2246884584303,-68.94342987111443,69.07105154574137
-69.35173219020064,69.22468833660983,-68.94343023096137,69.07105117816553
-69.35173078057875,69.22468982229256,-68.94343235043863,69.07104903272183
-69.35173078057875,69.22468982229256,-68.94343235043863,69.07104903272183
-69.35172774497099,69.22469299648513,-68.94343659723312,69.07104472785427
-69.3517277758166,69.22469295653902,-68.94343685070238,69.07104447529605
-69.35172880520112,69.22469187671106,-68.94343599313557,69.07104535318805
-69.35173014756556,69.22469047401515,-68.94343487784973,69.07104649597841
-69.3517314466828,69.22468912859878,-68.94343391060593,69.07104748861619
-69.35173202428763,69.22468854356435,-68.94343387702457,69.07104752932683
-69.35173222723326,69.22468834761455,-68.9434342937459,69.07104710413064
-69.35173246327358,69.22468811746883,-68.94343445695556,69.0710469489978
-69.35173214642468,69.2246884702648,-68.94343552618768,69.07104585875396
-69.35173161357051,69.2246890447298,-68.94343682395241,69.07104453480676
-69.35173065025702,69.22469005748162,-68.9434386023272,69.07104272894966
-69.35173017123405,69.22469056223143,-68.94343929549959,69.07104203049656
-69.35173066488994,69.22469005585509,-68.94344010989181,69.07104121103936
-69.35173173676407,69.22468894329849,-68.94343970379772,69.07104163014601
-69.35173351513343,69.22468711011162,-68.9434385637142,69.07104278846191
-69.35173525825978,69.22468532072654,-68.94343754746875,69.07104382073813
-69.35173618012784,69.22468438998932,-68.94343755038653,69.0710438199133
-69.35173621164846,69.2246843897712,-68.94343859297118,69.07104276193954
-69.35173606329683,69.22468457996146,-68.9434398052787,69.07104152617781
-69.35173645132726,69.22468419656379,-68.94344017218849,69.07104115267884
-69.35173637237658,69.22468434832642,-68.94344215695888,69.07103911690153
-69.35173637237658,69.22468434832642,-68.94344215695888,69.07103911690153
-69.35173578374487,69.22468494488403,-68.94344288440989,69.07103838953732
-69.3517359749522,69.22468475449871,-68.94344350914811,69.07103776533593
-69.35173640468585,69.22468431883591,-68.9434448185793,69.07103646725331
-69.35173706316432,69.22468364639897,-68.9434450157707,69.07103628027807
-69.35173822364146,69.22468245789159,-68.94344466718432,69.07103664336842
-69.35173958710152,69.2246810590514,-68.9434441354359,69.07103719298982
-69.35174051577792,69.22468009093924,-68.94344412351883,69.07103723222069
-69.35174103322072,69.22467956118813,-68.94344458893414,69.07103678519697
-69.35174169795118,69.22467888403892,-68.94344477277014,69.07103661692634
-69.35174151368196,69.22467907384734,-68.94344507456172,69.07103631583409
-69.35174113457825,69.22467949085251,-68.94344745982059,69.07103394851981
-69.35174113457825,69.22467949085251,-68.94344745982059,69.07103394851981
-69.35174068082948,69.22467996575183,-68.94344890226097,69.07103251532484
-69.35174081494553,69.22467985518745,-68.94344960255414,69.07103180479838
-69.35174135883189,69.22467931633076,-68.94344981583497,69.07103158429179
-69.35174248701938,69.22467818186912,-68.94345030855082,69.07103108819798
-69.35174332631193,69.22467733243299,-68.94345026110966,69.07103113271695
-69.35174426187889,69.22467638235763,-68.94345013327973,69.07103126013303
-69.35174447886085,69.22467613579511,-68.94344988556536,69.0710315134856
-69.35174543888574,69.22467515306106,-68.94344971364968,69.07103168843872
-69.35174619660364,69.22467440484635,-68.94345062649644,69.07103076141715
-69.35174619660364,69.22467440484635,-68.94345062649644,69.07103076141715
-69.35174544342989,69.22467523567325,-68.9434530942895,69.07102825020091
-69.35174544342989,69.22467523567325,-68.9434530942895,69.07102825020091
-69.35174530672968,69.22467541747774,-68.94345463735668,69.0710266754628
-69.3517453854761,69.22467534783304,-68.94345523708857,69.07102606711278
-69.35174593498347,69.2246747879749,-68.94345529516481,69.07102601129324
-69.35174660598604,69.22467410075879,-68.94345525470223,69.07102605738271
-69.35174740588084,69.22467327940154,-68.94345510338165,69.07102621830346
-69.35174798815646,69.22467269432684,-68.94345522994195,69.07102609432933
-69.35174891061779,69.22467174486492,-68.94345496110519,69.07102637912489
-69.35174939522766,69.22467121760825,-68.94345518559949,69.07102618436508
-69.35174979817249,69.22467079116694,-68.94345549095637,69.07102589870497
-69.3517496519515,69.2246709356123,-68.9434563909847,69.07102501491929
-69.35174939028333,69.22467120284004,-68.94345738461169,69.07102403462913
-69.351748858004,69.22467174753783,-68.94345790348525,69.07102352239039
-69.35174894959985,69.22467166673702,-68.94345840720337,69.07102301942069
-69.35174931127328,69.22467130154448,-68.94345929971097,69.07102213938668
-69.3517498825652,69.2246707211754,-68.94345920419292,69.07102224045764
-69.35175061770532,69.2246699669643,-68.94345893389239,69.07102252194993
-69.35175183323834,69.22466874830991,-68.94345809087902,69.07102334068705
-69.35175317669037,69.2246673174049,-68.9434569644971,69.07102449362203
-69.35175325587936,69.22466727658687,-68.94345738623196,69.07102405590378
-69.35175238113932,69.22466822648327,-68.94345884751401,69.07102256019792
-69.35175118870376,69.2246694919838,-68.94346058690094,69.07102078468604
-69.35175022123722,69.22467051412204,-68.94346196254355,69.07101938145003
-69.35175022123722,69.22467051412204,-68.94346196254355,69.07101938145003
-69.3517508764745,69.22466953405637,-68.94346151364164,69.07101999399609
-69.3517508764745,69.22466953405637,-68.94346151364164,69.07101999399609
-69.35175285420682,69.22466719267798,-68.94345967267206,69.07102208665192
-69.35175285420682,69.22466719267798,-68.94345967267206,69.07102208665192
-69.35175440938032,69.22466586356539,-68.94345853774412,69.07102316642815
-69.35175440736049,69.22466608262651,-68.94345879624916,69.071022773345
-69.35175334154171,69.22466725267037,-68.94346015064392,69.07102133425809
-69.35175194761635,69.22466876122981,-68.94346178870802,69.07101959596721
-69.35175110620744,69.2246695942565,-68.94346266878382,69.07101868743113
-69.35175113303757,69.22466952692037,-68.94346250079059,69.07101884959157
-69.35175125834569,69.22466937826003,-68.94346224501334,69.07101909515767
-69.35175150929228,69.22466910882005,-68.94346188806446,69.07101944270504
-69.35175189814203,69.22466870459719,-68.9434614161472,69.07101990450496
-69.35175242482127,69.22466816140359,-68.94346081830314,69.07102049434548
-69.3517530845646,69.22466748579974,-68.94346008132295,69.07102122296452
-69.35175386579647,69.22466668662562,-68.94345919392158,69.07102210414321
-69.3517538454378,69.22466672791187,-68.94345923360422,69.07102205569862
-69.35175373626946,69.22466685436457,-68.9434593125415,69.07102197091481
-69.35175351628149,69.22466709039159,-68.94345944146114,69.07102183821944
-69.35175317478154,69.22466744376574,-68.94345963139702,69.07102165042349
-69.35175271103516,69.22466791720626,-68.94345989043553,69.07102139798633
-69.3517521273469,69.2246685054281,-68.94346022877878,69.07102107409422
-69.3517518662383,69.22466876305307,-68.94346042697755,69.07102088164956
-69.3517511013857,69.22466950315997,-68.94346089851841,69.07102046643799
-69.35175035356794,69.22467000279757,-68.9434612524172,69.0710202585355
-69.35174996889553,69.22467052929412,-68.94346133187857,69.07102014824876
-69.35174988552674,69.22467067009144,-68.94346127336127,69.07102020867207
-69.35175026325233,69.22467048303557,-68.94346049352143,69.07102078709045
-69.3517509524274,69.22466975877559,-68.94345911516123,69.07102217089574
-69.35175162144742,69.22466904906136,-68.94345827391521,69.07102303120277
-69.35175260073623,69.2246680354458,-68.94345684085356,69.07102447385607
-69.35175320737184,69.2246673205394,-68.94345538758898,69.07102579717457
-69.35175261604752,69.22466821208937,-68.94345574004764,69.07102529553721
-69.35175261604752,69.22466821208937,-68.94345574004764,69.07102529553721
-69.35174867767773,69.2246718488202,-68.94345906508653,69.07102218556452
-69.35174867767773,69.2246718488202,-68.94345906508653,69.07102218556452
-69.35174615825827,69.22467432896183,-68.94346130583769,69.07102002774353
-69.35174592827083,69.22467468220415,-68.94346092610512,69.07102038563121
-69.35174579698318,69.22467483128638,-68.94346047068922,69.07102087212476
-69.35174740914164,69.22467318295348,-68.94345807417581,69.07102330281167
-69.3517521983068,69.22466819436899,-68.94345173098277,69.0710297755452
-69.3517521983068,69.22466819436899,-68.94345173098277,69.0710297755452
-69.3517538025678,69.22466696561226,-68.94344955070342,69.07103144652935
-69.35175210740302,69.2246686606725,-68.94345113435786,69.07102983522427
-69.35174988787396,69.22467096890176,-68.94345317743046,69.07102771836672
-69.35174216255709,69.22467869781666,-68.9434606390013,69.07102035541241
-69.35174216255709,69.22467869781666,-68.9434606390013,69.07102035541241
-69.35174181095054,69.22467900427976,-68.9434601811523,69.07102087616495
-69.35174701873422,69.22467347461074,-68.94345268363381,69.07102861131992
-69.35174701873422,69.22467347461074,-68.94345268363381,69.07102861131992
-69.35175135104109,69.22466889834855,-68.94344679845572,69.07103473741537
-69.35175181909304,69.22466840234775,-68.94344581162588,69.07103579736155
-69.35174882232583,69.22467153238087,-68.94344874715809,69.07103285495148
-69.35174489304735,69.22467578067808,-68.9434525433239,69.07102883093978
-69.35174156082554,69.22467920432526,-68.94345541793342,69.07102591965075
-69.3517401826921,69.22468052265677,-68.94345589144118,69.07102549350832
-69.35174082999477,69.22467976134322,-68.94345403756873,69.07102741851007
-69.35174040462034,69.22468017419101,-68.94345376897863,69.071027704697
-69.35174242349082,69.22467802315943,-68.94345047042448,69.07103109450412
-69.35174464050267,69.22467568160658,-68.94344711864504,69.07103452669686
-69.35174464050267,69.22467568160658,-68.94344711864504,69.07103452669686
-69.35174683830196,69.22467345241013,-68.94344334530659,69.0710383154244
-69.35174683830196,69.22467345241013,-68.94344334530659,69.0710383154244
-69.35174360786465,69.22467683112608,-68.94344634489867,69.07103525201786
-69.35173957657408,69.22468103420651,-68.94345011310823,69.07103140053965
-69.35173471575436,69.22468608245865,-68.94345474832856,69.07102666975788
-69.35173353593325,69.2246872071192,-68.94345413485175,69.07102725651558
-69.35173658396425,69.22468398656444,-68.94344992110584,69.0710315255967
-69.35174111276604,69.22467927728866,-68.94344430500512,69.07103719693082
-69.35174426787106,69.22467601772125,-68.94344056696576,69.07104096744827
